question,option_a,option_b,option_c,option_d,answer,explanation
What is the main component of biogas?,Methane,Carbon dioxide,Hydrogen,Hydrogen sulphide,A,Methane is the primary component of biogas, produced through anaerobic digestion.
Which of the following is an application of biotechnology?,Production of computers,Production of medicine,Production of plastic bottles,Production of cars,B,Biotechnology is widely used in medicine, such as in the production of vaccines and antibiotics.
What is the role of yeast in making tej?,To produce lactic acid,To produce carbon dioxide,To produce ethanol,To make the tej sweet,C,Yeast ferments sugars to produce ethanol, which gives tej its alcoholic content.
Which of the following is a waste product of anaerobic respiration by yeast?,Ethanol and carbon dioxide,Water and lactic acid,Lactic acid and ethanol,Carbon dioxide and water,A,Yeast produces ethanol and carbon dioxide during anaerobic respiration.
What is the advantage of biogas technology?,Control of plant pests,Saving of oil and wood,Manufacture of antibodies,Production of high-yielding plant varieties,B,Biogas technology helps save oil and wood by providing an alternative source of energy.
Which of the following is an example of genetic engineering?,Chemical engineering,Mechanical engineering,Genetic engineering,Civil engineering,C,Genetic engineering involves altering the genetic material of organisms to produce desired traits.
What is the role of yeast in baking injera?,To kill contaminants,To give injera its typical texture,To bake injera at low temperature,To increase the shelf life of injera,B,Yeast produces carbon dioxide, which gives injera its spongy texture.
Which of the following is a renewable resource?,Oil,Coal,Forest,Gold,C,Forests are renewable resources as they can regrow over time.
What is the function of chlorophyll in plants?,To absorb water,To absorb light energy,To absorb carbon dioxide,To absorb oxygen,B,Chlorophyll absorbs light energy for photosynthesis.
Which of the following is a greenhouse gas?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,Carbon dioxide is a greenhouse gas that contributes to global warming.
What is the primary function of the mitochondria?,Protein synthesis,Energy production,DNA replication,Waste removal,B,Mitochondria are the powerhouses of the cell, producing energy in the form of ATP.
Which of the following is a function of the liver?,Digestion of proteins,Production of bile,Production of insulin,Digestion of carbohydrates,B,The liver produces bile, which helps in the digestion of fats.
What is the main function of the kidney?,To filter blood,To produce hormones,To digest food,To produce bile,A,The kidney filters blood to remove waste products.
Which of the following is a function of the nervous system?,To transport oxygen,To regulate body temperature,To control body movements,To digest food,C,The nervous system controls body movements through nerve impulses.
What is the function of the ribosome?,To produce energy,To synthesize proteins,To store genetic information,To transport molecules,B,Ribosomes are responsible for protein synthesis.
Which of the following is a function of the stomata in plants?,To absorb water,To exchange gases,To absorb light,To store food,B,Stomata allow for gas exchange in plants.
What is the role of DNA in cells?,To store genetic information,To produce energy,To synthesize proteins,To transport molecules,A,DNA stores genetic information necessary for the functioning and reproduction of cells.
Which of the following is a function of the xylem in plants?,To transport water,To transport sugars,To absorb light,To store food,A,Xylem transports water and nutrients from the roots to the rest of the plant.
What is the function of the phloem in plants?,To transport water,To transport sugars,To absorb light,To store food,B,Phloem transports sugars and other nutrients throughout the plant.
Which of the following is a function of the pancreas?,To produce insulin,To filter blood,To produce bile,To digest proteins,A,The pancreas produces insulin, which regulates blood sugar levels.
What is the function of the alveoli in the lungs?,To filter air,To exchange gases,To produce mucus,To transport oxygen,B,Alveoli are the sites of gas exchange in the lungs.
Which of the following is a function of the red blood cells?,To fight infections,To transport oxygen,To produce antibodies,To clot blood,B,Red blood cells transport oxygen from the lungs to the rest of the body.
What is the function of white blood cells?,To transport oxygen,To fight infections,To clot blood,To produce energy,B,White blood cells are part of the immune system and fight infections.
Which of the following is a function of the platelets?,To transport oxygen,To fight infections,To clot blood,To produce energy,C,Platelets are involved in blood clotting.
What is the function of the heart?,To filter blood,To pump blood,To produce hormones,To digest food,B,The heart pumps blood throughout the body.
Which of the following is a function of the lungs?,To filter blood,To exchange gases,To produce hormones,To digest food,B,The lungs are responsible for gas exchange, taking in oxygen and releasing carbon dioxide.
What is the function of the stomach?,To filter blood,To digest food,To produce hormones,To exchange gases,B,The stomach digests food through the action of acids and enzymes.
Which of the following is a function of the small intestine?,To filter blood,To absorb nutrients,To produce hormones,To exchange gases,B,The small intestine absorbs nutrients from digested food.
What is the role of nitrifying bacteria in the nitrogen cycle?,To decompose dead bodies,To release free nitrogen,To produce nitrates,To build free nitrogen,C,Nitrifying bacteria convert ammonia into nitrates, which plants can absorb.
Which of the following is an example of mutualism?,A flea sucking blood from a dog,A flowering plant and its pollinator,A crocodile and a tooth-cleaning bird,Epiphytes growing on trees,B,Mutualism is a relationship where both species benefit, such as a flowering plant and its pollinator.
